building_code,building_name,building_address,lat,lon
LJS,Laird J. Stabler Memorial Hall,840 Downey Way,34.01967525,-118.2864940846109
LRC,General William Lyon University Ctr.,1026 W. 34th St.,34.02440595,-118.28842677721451
LVL,Thomas and Dorothy Leavey Library,650 W. McCarthy Way,34.021762,-118.282898
MAB,Manor Apts.,2636 Portland St.,34.030381909090906,-118.28230081818181
MBC,MacDonald Becket Center,850 W. Bloom Walk,null,null
MCA,McKibben Addition,1333 San Pablo St.,34.060095177500465,-118.20426560609182
MCB,Michelson Center For Convergent Bioscience,1002 Childs Way,34.0219925510204,-118.2892675510204
MCC,McClintock Building,1010 W. Jefferson Blvd.,34.0250256,-118.28762289044172
MCH,McKibben Hall,1333 San Pablo St.,34.060095177500465,-118.20426560609182
MCK,McClintock Apartments Building Two,1082 30th St.,33.89717567346939,-118.39626061224489
MCO,McClintock Apartments Building One,1076 30th St.,33.89717555102041,-118.39630059183673
MCT,McCulloch Townhomes,953 W. 30th St.,33.718103500000005,-118.29905836842106
MHC,The Kathleen L. McCarthy Honors College,3096 S. McClintock Ave.,42.816427,-70.893133
MHP,Mudd Memorial Hall of Philosophy,3709 Trousdale Pkwy.,34.0186256,-118.28693837233989
MMR,Mudd Memorial Research Bldg.,1333 San Pablo St.,34.060095177500465,-118.20426560609182
MOL,Medical Oncology Lab,1237 N. Mission Rd.,34.0603698,-118.2147289
MRC,Priam Residential College,835 W. Jefferson Blvd.,34.0241109,-118.2844736
MRF,Montgomery Ross Fisher Bldg.,669 W. 34th St.,34.022341,-118.28253090514032
MRI,Magnetic Resonance Imaging Building,2025 Zonal Ave.,34.06022105479452,-118.20618926027397
MSC,Marine Sciences Ctr. Lab,Catalina Island,55.5481127,-133.2923757027654
MSR,Marine Sciences Center Residence Hall,Catalina Island,55.5481127,-133.2923757027654
MUS,Albert S. Raubenheimer Music Faculty Memorial Bldg.,840 W. 34th St.,34.02295785,-118.28510640002173
NBC,Shelly and Ofer Nemirovsky and David C. Bohnett Residential College,3201 S. Hoover St.,34.025377,-118.284032
NCT,Norris Cinema Theatre,3507 Trousdale Pkwy.,34.022538,-118.283962
